nome_veiculo,cod_veiculo,cod_marca,cod_veiculo_especifico
Renegade Trailhawk 2.0 4x4 TB Diesel Aut,7191,29,"[{'Label': '2021 Diesel', 'Value': '2021-3'}, {'Label': '2020 Diesel', 'Value': '2020-3'}, {'Label': '2019 Diesel', 'Value': '2019-3'}, {'Label': '2018 Diesel', 'Value': '2018-3'}, {'Label': '2017 Diesel', 'Value': '2017-3'}, {'Label': '2016 Diesel', 'Value': '2016-3'}, {'Label': '2015 Diesel', 'Value': '2015-3'}]"
Renegade Trailhawk T270 1.3 TB Flex Aut.,9748,29,"[{'Label': '32000 Gasolina', 'Value': '32000-1'}, {'Label': '2024 Gasolina', 'Value': '2024-1'}, {'Label': '2023 Gasolina', 'Value': '2023-1'}, {'Label': '2022 Gasolina', 'Value': '2022-1'}]"
Renegade Willys 2.0 4x4 TB Diesel Aut.,8664,29,"[{'Label': '2019 Diesel', 'Value': '2019-3'}]"
Renegade1.8 4x2 Flex 16V Aut.,9560,29,"[{'Label': '2021 Gasolina', 'Value': '2021-1'}, {'Label': '2020 Gasolina', 'Value': '2020-1'}, {'Label': '2019 Gasolina', 'Value': '2019-1'}, {'Label': '2018 Gasolina', 'Value': '2018-1'}, {'Label': '2017 Gasolina', 'Value': '2017-1'}, {'Label': '2016 Gasolina', 'Value': '2016-1'}]"
Wrangler 4.0/Sport 4.0,1384,29,"[{'Label': '2001 Gasolina', 'Value': '2001-1'}, {'Label': '2000 Gasolina', 'Value': '2000-1'}, {'Label': '1999 Gasolina', 'Value': '1999-1'}, {'Label': '1998 Gasolina', 'Value': '1998-1'}, {'Label': '1997 Gasolina', 'Value': '1997-1'}, {'Label': '1993 Gasolina', 'Value': '1993-1'}, {'Label': '1992 Gasolina', 'Value': '1992-1'}]"
Wrangler RUBICON 2.0 Turbo 4x4 4p Aut.,9095,29,"[{'Label': '32000 Gasolina', 'Value': '32000-1'}, {'Label': '2023 Gasolina', 'Value': '2023-1'}, {'Label': '2022 Gasolina', 'Value': '2022-1'}, {'Label': '2021 Gasolina', 'Value': '2021-1'}, {'Label': '2020 Gasolina', 'Value': '2020-1'}]"
Wrangler SAHARA 2.0 4x4 271cv 2p Aut.,8665,29,"[{'Label': '32000 Gasolina', 'Value': '32000-1'}, {'Label': '2023 Gasolina', 'Value': '2023-1'}, {'Label': '2022 Gasolina', 'Value': '2022-1'}, {'Label': '2021 Gasolina', 'Value': '2021-1'}, {'Label': '2020 Gasolina', 'Value': '2020-1'}, {'Label': '2019 Gasolina', 'Value': '2019-1'}, {'Label': '2018 Gasolina', 'Value': '2018-1'}]"
Wrangler SAHARA 3.8 V6 199cv 2p,5728,29,"[{'Label': '2011 Gasolina', 'Value': '2011-1'}]"
Wrangler SAHARA Overland 2.0 4x4 4p Aut.,8666,29,"[{'Label': '2021 Gasolina', 'Value': '2021-1'}, {'Label': '2020 Gasolina', 'Value': '2020-1'}, {'Label': '2019 Gasolina', 'Value': '2019-1'}]"
Wrangler Sport 3.6 V6 284cv 2p,5897,29,"[{'Label': '2018 Gasolina', 'Value': '2018-1'}, {'Label': '2017 Gasolina', 'Value': '2017-1'}, {'Label': '2016 Gasolina', 'Value': '2016-1'}, {'Label': '2015 Gasolina', 'Value': '2015-1'}, {'Label': '2014 Gasolina', 'Value': '2014-1'}, {'Label': '2013 Gasolina', 'Value': '2013-1'}, {'Label': '2012 Gasolina', 'Value': '2012-1'}]"
